name,team,nationality,gender,specialty
"Andrew Oscar CHAMBERLAIN","DECATHLON CMA CGM TEAM (DCT)","AUS","M",""
"Clément CHAMPOUSSIN","XDS ASTANA TEAM (XAT)","FRA","M",""
"Anthon CHARMIG","UNO-X MOBILITY (UXM)","DEN","M",""
"Jan CHRISTEN","UAE TEAM EMIRATES XRG (UAD)","SUI","M",""
"Giulio CICCONE","LIDL-TREK (LTK)","ITA","M",""
"Simon James CLARKE","NSN CYCLING TEAM (NSN)","AUS","M",""
"Filippo CONCA","TEAM JAYCO ALULA (JAY)","ITA","M",""
"Nicola CONCI","XDS ASTANA TEAM (XAT)","ITA","M",""
"Simone CONSONNI","LIDL-TREK (LTK)","ITA","M",""
"Dillon CORKERY","TEAM PICNIC POSTNL (TPP)","IRL","M",""
"Benoit COSNEFROY","UAE TEAM EMIRATES XRG (UAD)","FRA","M",""
"Ewen COSTIOU","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Pier-André CÔTÉ","NSN CYCLING TEAM (NSN)","CAN","M",""
"Alessandro COVI","TEAM JAYCO ALULA (JAY)","ITA","M",""
"Lars CRAPS","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Steff CRAS","SOUDAL QUICK-STEP (SOQ)","BEL","M",""
"Alberto DAINESE","SOUDAL QUICK-STEP (SOQ)","ITA","M",""
"Simon DALBY","UNO-X MOBILITY (UXM)","DEN","M",""
"Dries DE BONDT","TEAM JAYCO ALULA (JAY)","BEL","M",""
"Jasper DE BUYST","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Timo DE JONG","TEAM PICNIC POSTNL (TPP)","NED","M",""
"Arnaud DE LIE","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Sander DE PESTEL","DECATHLON CMA CGM TEAM (DCT)","BEL","M",""
"Laurens DE PLUS","INEOS GRENADIERS (IGD)","BEL","M",""
"Dries DE POOTER","TEAM JAYCO ALULA (JAY)","BEL","M",""
"Davide DE PRETTO","TEAM JAYCO ALULA (JAY)","ITA","M",""
"Steffen DE SCHUYTENEER","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Lindsay DE VYLDER","ALPECIN-PREMIER TECH (APT)","BEL","M",""
"Ramses DEBRUYNE","ALPECIN-PREMIER TECH (APT)","BEL","M",""
"Maxime DECOMBLE","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"John DEGENKOLB","TEAM PICNIC POSTNL (TPP)","GER","M",""
"Simon DEHAIRS","ALPECIN-PREMIER TECH (APT)","BEL","M",""
"Tibor DEL GROSSO","ALPECIN-PREMIER TECH (APT)","NED","M",""
"Isaac DEL TORO ROMERO","UAE TEAM EMIRATES XRG (UAD)","MEX","M",""
"Nico DENZ","RED BULL - BORA - HANSGROHE (RBH)","GER","M",""
