"name","team","nationality","gender","specialty"
"Margarita Victoria GARCIA CAÑELLAS","UAE TEAM ADQ (UAD)","ESP","F",""
"Ingvild GÅSKJENN","UNO-X MOBILITY (UXM)","NOR","F",""
"Eleonora Camilla GASPARRINI","UAE TEAM ADQ (UAD)","ITA","F",""
"Pfeiffer GEORGI","TEAM PICNIC POSTNL (TPP)","GBR","F",""
"Femke GERRITSE","TEAM SD WORX - PROTIME (SDW)","NED","F",""
"Célia GERY","FDJ UNITED - SUEZ (TFS)","FRA","F",""
"Justine GHEKIERE","AG INSURANCE - SOUDAL TEAM (AGS)","BEL","F",""
"Louise Sarah GIGANTE","AG INSURANCE - SOUDAL TEAM (AGS)","AUS","F",""
"Lara GILLESPIE","UAE TEAM ADQ (UAD)","IRL","F",""
"Mia GJERTSEN","UNO-X MOBILITY (UXM)","NOR","F",""
"Nadia GONTOVA","LIV-ALULA-JAYCO (LIV)","CAN","F",""
"Marthe GOOSSENS","AG INSURANCE - SOUDAL TEAM (AGS)","BEL","F",""
"Ana Vitoria GOUVEA VIEIRA ALMEIDA MAGALHAES","MOVISTAR TEAM (MOV)","BRA","F",""
"Emilie Alberte GREVE","UNO-X MOBILITY (UXM)","DEN","F",""
"Mia GRIFFIN","TEAM PICNIC POSTNL (TPP)","IRL","F",""
"Barbara GUARISCHI","TEAM SD WORX - PROTIME (SDW)","ITA","F",""
"Vittoria GUAZZINI","FDJ UNITED - SUEZ (TFS)","ITA","F",""
"Sheyla GUTIERREZ RUIZ","MOVISTAR TEAM (MOV)","ESP","F",""
"Steffi HÄBERLIN","TEAM SD WORX - PROTIME (SDW)","SUI","F",""
"Lauretta HANSON","LIDL - TREK (LTK)","AUS","F",""
"Mikayla HARVEY","TEAM SD WORX - PROTIME (SDW)","NZL","F",""
"Sigrid Ytterhus HAUGSET","UNO-X MOBILITY (UXM)","NOR","F",""
"Anna HENDERSON","LIDL - TREK (LTK)","GBR","F",""
"Daniek HENGEVELD","TEAM VISMA | LEASE A BIKE (TVL)","NED","F",""
"Ella HEREMANS","TEAM PICNIC POSTNL (TPP)","BEL","F",""
"Daniela HEZINOVÁ","TEAM PICNIC POSTNL (TPP)","CZE","F",""
"Ava HOLMGREN","LIDL - TREK (LTK)","CAN","F",""
"Isabella HOLMGREN","LIDL - TREK (LTK)","CAN","F",""
"Alena IVANCHENKO","UAE TEAM ADQ (UAD)","RUS","F",""
"Noa JANSEN","LIV-ALULA-JAYCO (LIV)","NED","F",""
"Marta JASKULSKA","HUMAN POWERED HEALTH (HPH)","POL","F",""
"Megan JASTRAB","UAE TEAM ADQ (UAD)","USA","F",""
"Febe JOORIS","UAE TEAM ADQ (UAD)","BEL","F",""
"Stina KAGEVI","EF EDUCATION - OATLY (EFO)","SWE","F",""
"Yara KASTELIJN","FENIX-PREMIER TECH (FPC)","NED","F",""
"Cedrine KERBAOL","EF EDUCATION - OATLY (EFO)","FRA","F",""
"Maria Rosa KLÖSER","CANYON//SRAM ZONDACRYPTO (CSZ)","GER","F",""
"Mirre KNAVEN","EF EDUCATION - OATLY (EFO)","NED","F",""
"Franziska KOCH","FDJ UNITED - SUEZ (TFS)","GER","F",""
"Rebecca KOERNER","UNO-X MOBILITY (UXM)","DEN","F",""
"Anastasiya KOLESAVA","CANYON//SRAM ZONDACRYPTO (CSZ)","BLR","F",""
"Charlotte KOOL","FENIX-PREMIER TECH (FPC)","NED","F",""
"Jente KOOPS","HUMAN POWERED HEALTH (HPH)","NED","F",""
"Lotte KOPECKY","TEAM SD WORX - PROTIME (SDW)","BEL","F",""
"Sophie Julia KOPECKÝ","TEAM SD WORX - PROTIME (SDW)","CZE","F",""
"Jeanne KOREVAAR","LIV-ALULA-JAYCO (LIV)","NED","F",""
"Anouska KOSTER","UNO-X MOBILITY (UXM)","NED","F",""
"Amber KRAAK","FDJ UNITED - SUEZ (TFS)","NED","F",""
"Evy KUIJPERS","FENIX-PREMIER TECH (FPC)","NED","F",""
"Marta LACH","TEAM SD WORX - PROTIME (SDW)","POL","F",""
"Kimberley LE COURT DE BILLOT - PIENAAR","AG INSURANCE - SOUDAL TEAM (AGS)","MRI","F",""
